,IMA_C,IMA_ESP,IMA_DSP,ESP,DSP
"DESK3_A,0000003384",187685.46596272785,395084.8683907645,1095592.4514508927,"['2007-12-10', '2008-11-26']","['2007-05-10', '2008-04-28']"
"DESK3_B,0000003425",237238.6206213633,383162.36957659037,671318.4330357143,"['2007-12-10', '2008-11-26']","['2007-05-11', '2008-04-29']"
"DESK3_C,0000003386",185886.7079264323,393073.166495187,1088685.9633135113,"['2007-12-10', '2008-11-26']","['2007-05-10', '2008-04-28']"
"DESK3_D,20020S",60500.84375,172552.26785714287,172552.26785714287,"['2007-12-10', '2008-11-26']","['2007-12-10', '2008-11-26']"
"DESK3_E,20021S",61766.104166666664,170040.24107142858,170040.24107142858,"['2007-12-10', '2008-11-26']","['2007-12-10', '2008-11-26']"
"DESK3_F,20046S",80451.52864583333,179411.05357142858,226957.8125,"['2007-12-10', '2008-11-26']","['2009-05-28', '2010-05-17']"
"DESK3_G,20024S",1391.78515625,3011.3098493303573,4789.947910853794,"['2007-12-10', '2008-11-26']","['2009-01-21', '2010-01-08']"
"DESK3_H,0000003426",170645.23335774738,310502.55195835663,277841.0010114397,"['2007-12-10', '2008-11-26']","['2007-10-23', '2008-10-09']"
"DESK3_L,0000003447",1363.6754557291667,449270.3831961496,752934.0360369001,"['2007-12-10', '2008-11-26']","['2007-05-11', '2008-04-29']"
"DESK3_M,0000003448",1632.5104166666667,49748.237819126676,42791.59464808873,"['2007-12-10', '2008-11-26']","['2007-10-23', '2008-10-09']"
"DESK3_N,0000003449",3415.0416666666665,52847.54282924107,160292.74712262832,"['2007-12-10', '2008-11-26']","['2008-10-09', '2009-09-28']"
