,IMA_C,IMA_ESP,IMA_DSP,ESP,DSP
DESK3_A_TOTAL,187685.46786973282,395084.86160354957,1095592.445030202,"['2007-12-10', '2008-11-26']","['2007-05-10', '2008-04-28']"
DESK3_B_TOTAL,237238.62119898753,383162.3726582631,671318.4368531902,"['2007-12-10', '2008-11-26']","['2007-05-11', '2008-04-29']"
DESK3_C_TOTAL,185886.70971383387,393073.1705579986,1088685.9666272886,"['2007-12-10', '2008-11-26']","['2007-05-10', '2008-04-28']"
DESK3_D_TOTAL,60500.84447229267,172552.27130003058,172552.27130003058,"['2007-12-10', '2008-11-26']","['2007-12-10', '2008-11-26']"
DESK3_E_TOTAL,61766.10284065368,170040.23874123904,170040.23874123904,"['2007-12-10', '2008-11-26']","['2007-12-10', '2008-11-26']"
DESK3_F_TOTAL,80451.52531506353,179411.05034197847,226957.8070601306,"['2007-12-10', '2008-11-26']","['2009-05-28', '2010-05-17']"
DESK3_G_TOTAL,1391.7830937488395,3011.3035708023003,4789.956502045961,"['2007-12-10', '2008-11-26']","['2009-01-21', '2010-01-08']"
DESK3_H_TOTAL,170645.23339496995,310502.55215824494,277841.0022725634,"['2007-12-10', '2008-11-26']","['2007-10-23', '2008-10-09']"
DESK3_I_TOTAL,1363.675973246077,3153.893764905046,5214.722608273572,"['2007-12-10', '2008-11-26']","['2009-01-21', '2010-01-08']"
DESK3_J_TOTAL,1632.5019166061538,3595.3080451855826,4558.322618725929,"['2007-12-10', '2008-11-26']","['2008-08-06', '2009-07-24']"
DESK3_K_TOTAL,3415.1144935800694,12416.3143793886,16275.95578668709,"['2007-12-10', '2008-11-26']","['2008-08-06', '2009-07-24']"
DESK3_L_TOTAL,273324.75194734416,449270.39355305163,752934.038455898,"['2007-12-10', '2008-11-26']","['2007-05-11', '2008-04-29']"
DESK3_M_TOTAL,16539.20538193469,49748.238552043564,42791.59509230998,"['2007-12-10', '2008-11-26']","['2007-10-23', '2008-10-09']"
DESK3_N_TOTAL,16064.39187887637,52847.54267959924,160292.744612534,"['2007-12-10', '2008-11-26']","['2008-10-09', '2009-09-28']"
